id,timestep,consumption_eur,consumption_sib,price_eur,price_sib
5cd131ed-8db8-4ec8-a829-37f3de5f5e71,2006-09-01 00:00,62341.0,17916.0,275.22,0.0
66cb9da0-86ef-455e-a694-7c9a27edb8e1,2006-09-01 01:00,60625.0,17467.0,0.0,0.0
353c2af0-138d-495c-af63-1f742f467219,2006-09-01 02:00,59685.0,17161.0,0.0,0.0
057600f0-e0cc-49a1-856b-bd3b39295fd2,2006-09-01 03:00,59500.0,17061.0,0.0,0.0
ab3fbd6e-a12b-4bf0-83b8-edfc5c862579,2006-09-01 04:00,60617.0,17074.0,0.0,0.0
f9ac0bec-0b94-4c96-ae4f-e133db5ee14f,2006-09-01 05:00,62262.0,17273.0,29.96,0.0
45433609-1793-41dd-bfa2-45cbb4d35d00,2006-09-01 06:00,64503.0,17625.0,343.73,0.0
3c4dd533-1b4f-44c9-afe8-09f8a9d67e59,2006-09-01 07:00,68316.0,18074.0,440.01,0.0
43d3370f-d7b7-44d2-85b2-b67f0be4ad14,2006-09-01 08:00,71802.0,18698.0,462.64,0.0
5a063b86-4a1b-43ec-b715-8a129f817b5a,2006-09-01 09:00,73390.0,19195.0,471.93,0.0
e5f4d54c-549f-4f70-bd05-c1d91d3a5a80,2006-09-01 10:00,73814.0,19482.0,485.33,0.0
83c6628c-1d90-4bf3-bbe9-238f5174b0f2,2006-09-01 11:00,73548.0,19525.0,469.21,0.0
9db782c3-2b5f-4dc4-98b7-3b3ec3e90b1f,2006-09-01 12:00,72991.0,19353.0,486.96,0.0
e5c3cf02-686b-4f1d-b0a5-a5fab2136dcc,2006-09-01 13:00,73472.0,19293.0,548.62,0.0
a9774ad7-10f7-458b-b03b-25dcdc18cef0,2006-09-01 14:00,73072.0,19355.0,546.23,0.0
76fc70d0-5511-45ac-ae55-0aecef8641bc,2006-09-01 15:00,72058.0,19308.0,545.57,0.0
d41038bc-aae0-47c8-9bcd-99bc0609c050,2006-09-01 16:00,71257.0,19143.0,549.21,0.0
f8c9a09e-1a0b-47f4-aa5e-a84474891fa5,2006-09-01 17:00,70177.0,19088.0,497.24,0.0
1e6c0b67-a2d0-44a4-9f19-a2b548c0563b,2006-09-01 18:00,69913.0,19095.0,432.99,0.0
3b4171f3-2950-4550-92cc-b21f14436425,2006-09-01 19:00,70752.0,19134.0,444.95,0.0
